"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"423","Jaysean Paige","PG","27","DET","1","0","7.0","0.0","3.0",".000","0.0","2.0",".000","0.0","1.0",".000",".000","0.0","0.0","","0.0","1.0","1.0","1.0","0.0","0.0","1.0","2.0","0.0"
"424","Trayvon Palmer","SG","27","DET","1","0","17.0","0.0","1.0",".000","0.0","0.0","","0.0","1.0",".000",".000","0.0","0.0","","0.0","2.0","2.0","0.0","0.0","0.0","1.0","2.0","0.0"
"425","Kevin Pangos","PG","29","CLE","21","3","7.7","0.7","2.1",".333","0.3","1.2",".231","0.4","0.9",".474",".400","0.1","0.2",".750","0.1","0.4","0.5","1.4","0.1","0.0","0.3","0.5","1.9"
"426","Jabari Parker","PF","26","BOS","12","0","9.3","1.5","3.2",".474","0.7","1.3",".500","0.8","1.8",".455",".579","0.8","0.8","1.000","0.4","1.9","2.3","0.5","0.3","0.1","0.7","1.1","4.4"
"427","Eric Paschall","PF","25","UTA","37","1","12.8","1.8","3.8",".479","0.7","1.8",".382","1.1","2.0",".568",".570","1.2","1.5",".754","0.6","1.4","2.1","0.5","0.1","0.1","0.6","1.0","5.5"
"428","Chris Paul","PG","36","PHO","49","49","32.9","5.6","11.4",".490","1.1","3.1",".347","4.5","8.3",".543",".537","2.5","3.1",".827","0.3","4.2","4.6","10.3","1.9","0.3","2.3","2.1","14.8"
"429","Cameron Payne","PG","27","PHO","40","0","20.4","4.0","9.8",".404","1.1","3.4",".336","2.8","6.4",".440",".462","1.4","1.7",".864","0.4","2.4","2.8","3.6","0.6","0.3","1.8","1.9","10.5"
"430","Elfrid Payton","PG","27","PHO","29","0","11.0","1.4","3.7",".377","0.0","0.3",".100","1.3","3.3",".406",".382","0.3","0.6",".500","0.5","1.4","1.9","1.8","0.6","0.1","0.9","0.9","3.1"
"431","Gary Payton II","PG","29","GSW","47","9","16.7","3.2","5.0",".634","0.6","1.7",".370","2.5","3.3",".773",".698","0.5","0.9",".571","1.1","2.6","3.7","0.8","1.3","0.3","0.5","1.7","7.5"
"432","Norvel Pelle","C","28","UTA","3","0","6.3","1.0","1.7",".600","0.0","0.0","","1.0","1.7",".600",".600","0.0","0.0","","1.0","1.0","2.0","0.0","0.0","0.3","0.7","0.3","2.0"
"433","Reggie Perry","PF","21","POR","2","0","20.5","2.0","4.5",".444","0.5","1.0",".500","1.5","3.5",".429",".500","1.0","1.0","1.000","1.0","2.5","3.5","1.0","0.5","0.0","0.5","3.0","5.5"
"434","Jamorko Pickett","PF","24","DET","6","0","7.8","0.2","1.7",".100","0.2","1.2",".143","0.0","0.5",".000",".150","0.0","0.0","","0.3","1.2","1.5","0.2","0.0","0.2","0.5","0.5","0.5"
"435","Theo Pinson","SF","26","DAL","15","0","7.4","0.6","2.0",".300","0.4","1.5",".261","0.2","0.5",".429",".400","0.3","0.3","1.000","0.1","1.2","1.3","0.9","0.3","0.1","0.1","0.6","1.9"
"436","Mason Plumlee","C","31","CHO","42","42","25.1","3.0","4.8",".637","0.0","0.0",".000","3.0","4.8",".640",".637","0.7","2.2",".337","2.4","5.0","7.4","2.9","0.8","0.7","1.3","3.0","6.8"
"437","Jakob Poeltl","C","26","SAS","42","41","29.1","6.0","9.8",".613","0.0","0.0","","6.0","9.8",".613",".613","1.2","2.7",".447","4.0","5.0","9.1","2.8","0.7","1.7","1.5","3.0","13.2"
"438","Aleksej Pokusevski","PF","20","OKC","36","2","15.1","1.9","5.4",".358","0.6","2.4",".230","1.4","2.9",".462",".409","0.2","0.4",".500","0.9","3.1","4.0","1.1","0.5","0.5","1.2","1.2","4.6"
"439","Yves Pons","SF","22","MEM","7","0","3.1","0.1","0.4",".333","0.1","0.1","1.000","0.0","0.3",".000",".500","0.0","0.3",".000","0.3","0.4","0.7","0.0","0.0","0.0","0.0","0.3","0.4"
"440","Jordan Poole","SG","22","GSW","44","33","29.1","5.7","13.0",".439","2.5","7.2",".345","3.3","5.9",".554",".534","2.9","3.1",".913","0.3","2.7","3.0","3.4","0.8","0.3","2.3","2.7","16.8"
"441","Kevin Porter Jr.","PG","21","HOU","32","32","30.0","4.5","11.9",".381","2.0","5.7",".344","2.6","6.2",".414",".463","2.2","3.4",".642","0.8","3.5","4.2","6.0","1.3","0.3","3.6","2.6","13.2"
"442","Michael Porter Jr.","SF","23","DEN","9","9","29.4","4.1","11.4",".359","1.1","5.3",".208","3.0","6.1",".491",".408","0.6","1.0",".556","1.0","5.6","6.6","1.9","1.1","0.2","1.3","1.8","9.9"
"443","Otto Porter Jr.","PF","28","GSW","43","11","21.9","3.3","6.8",".480","1.6","3.9",".404","1.7","3.0",".578",".594","0.6","0.8",".727","1.0","4.3","5.3","1.6","1.1","0.5","0.5","1.3","8.7"
"444","Bobby Portis","C","26","MIL","43","38","28.6","5.8","12.2",".473","1.8","4.5",".404","4.0","7.7",".514",".548","1.4","1.9",".763","2.8","6.4","9.2","1.2","0.7","0.9","1.6","2.7","14.8"
"445","Kristaps Porziņģis","PF","26","DAL","34","34","29.5","6.7","14.9",".451","1.4","5.1",".283","5.3","9.9",".537",".499","4.3","5.0",".865","1.9","5.8","7.7","2.0","0.7","1.7","1.6","2.6","19.2"
"446","Micah Potter","C","23","DET","3","0","10.3","1.7","3.7",".455","0.0","0.7",".000","1.7","3.0",".556",".455","0.7","0.7","1.000","1.3","1.7","3.0","0.0","0.3","0.3","0.3","1.3","4.0"
"447","Dwight Powell","C","30","DAL","51","40","19.9","2.7","4.2",".636","0.2","0.6",".400","2.4","3.6",".674",".664","1.6","2.1",".743","1.9","2.5","4.4","1.0","0.5","0.4","0.7","2.4","7.2"
"448","Myles Powell","PG","24","PHI","10","0","4.8","0.5","1.6",".313","0.1","0.5",".200","0.4","1.1",".364",".344","0.2","0.2","1.000","0.1","0.5","0.6","0.3","0.1","0.0","0.3","0.6","1.3"
"449","Norman Powell","SF","28","POR","38","37","33.0","6.1","13.3",".456","2.2","5.5",".405","3.8","7.8",".492",".539","4.0","5.0",".804","0.4","2.8","3.2","2.1","1.0","0.4","1.6","2.2","18.4"
"450","Joshua Primo","SG","19","SAS","22","4","14.1","1.6","4.1",".396","0.8","2.1",".383","0.8","2.0",".409",".495","0.5","0.5",".833","0.5","1.0","1.5","1.2","0.4","0.5","1.0","1.0","4.5"
"451","Taurean Prince","PF","27","MIN","39","8","15.4","1.8","4.1",".429","0.9","2.6",".340","0.9","1.6",".574",".534","0.6","0.8",".758","0.4","1.8","2.2","0.9","0.5","0.2","0.6","1.4","5.1"
"452","Payton Pritchard","SG","24","BOS","41","2","12.7","1.8","4.8",".367","1.1","3.0",".364","0.7","1.8",".373",".480","0.2","0.2","1.000","0.3","1.4","1.7","1.7","0.2","0.1","0.6","0.8","4.8"
"453","Trevelin Queen","SG","24","HOU","8","0","8.6","1.6","3.6",".448","1.0","2.8",".364","0.6","0.9",".714",".586","0.4","0.4","1.000","0.6","1.1","1.8","0.4","0.6","0.0","0.9","0.8","4.6"
"454","Neemias Queta","C","22","SAC","9","0","5.8","0.9","2.2",".400","0.0","0.0","","0.9","2.2",".400",".400","0.3","0.6",".600","0.8","0.9","1.7","0.3","0.1","0.3","0.3","1.2","2.1"
"455","Immanuel Quickley","PG","22","NYK","46","2","22.2","3.3","8.8",".379","1.7","5.0",".345","1.6","3.7",".424",".478","1.6","1.8",".915","0.3","2.0","2.4","3.0","0.7","0.1","1.2","2.1","10.0"
"456","Jahmi'us Ramsey","SG","20","SAC","17","0","6.1","1.1","2.6",".432","0.2","0.8",".231","0.9","1.8",".516",".466","0.3","0.6",".500","0.2","0.4","0.5","0.2","0.1","0.1","0.2","0.5","2.7"
"457","Julius Randle","PF","27","NYK","48","48","35.3","6.7","16.2",".413","1.6","5.4",".306","5.0","10.8",".465",".463","3.5","4.6",".756","1.7","8.2","9.9","5.0","0.8","0.6","3.5","2.8","18.5"
"458","Austin Reaves","SG","23","LAL","32","0","21.3","2.0","4.3",".464","0.8","2.5",".316","1.2","1.8",".661",".554","1.2","1.4",".841","0.6","2.1","2.7","1.3","0.3","0.2","0.5","1.5","5.9"
"459","Cam Reddish","SF","22","TOT","36","7","22.6","3.9","9.8",".402","1.6","4.4",".376","2.3","5.4",".423",".486","2.0","2.3",".901","0.6","1.9","2.4","1.1","1.0","0.3","1.3","1.3","11.5"
"459","Cam Reddish","SF","22","ATL","34","7","23.4","4.1","10.1",".402","1.7","4.5",".379","2.4","5.6",".421",".487","2.1","2.4",".900","0.6","1.9","2.5","1.1","1.0","0.3","1.3","1.3","11.9"
"459","Cam Reddish","SF","22","NYK","2","0","7.5","1.5","4.0",".375","0.5","2.0",".250","1.0","2.0",".500",".438","0.5","0.5","1.000","0.0","2.0","2.0","0.0","0.0","0.5","0.5","0.0","4.0"
"460","Davon Reed","SG","26","DEN","23","2","14.0","1.4","3.1",".458","0.7","1.5",".441","0.8","1.7",".474",".563","0.2","0.2",".800","0.4","2.2","2.6","1.0","0.7","0.1","0.3","1.5","3.7"
"461","Paul Reed","C","22","PHI","21","2","8.8","1.0","2.0",".465","0.0","0.2",".000","1.0","1.9",".513",".465","0.1","0.4",".375","1.0","1.3","2.2","0.5","0.6","0.5","0.3","1.3","2.0"
