"33","Will Barton","SG","31","DEN","32","32","32.9","5.9","13.8",".426","2.3","6.5",".362","3.5","7.3",".483",".511","1.2","1.5",".792","0.7","4.4","5.1","4.2","0.9","0.5","1.9","1.5","15.3"
"34","Paris Bass","SF","26","PHO","1","0","5.0","2.0","4.0",".500","0.0","1.0",".000","2.0","3.0",".667",".500","0.0","0.0","","1.0","1.0","2.0","0.0","1.0","0.0","2.0","1.0","4.0"
"35","Charles Bassey","PF","21","PHI","16","0","8.5","1.5","2.2",".686","0.0","0.2",".000","1.5","2.0",".750",".686","0.5","0.7",".727","1.0","2.2","3.2","0.4","0.2","0.8","0.4","1.5","3.5"
"36","Keita Bates-Diop","SF","26","SAS","29","8","15.5","2.1","4.0",".530","0.2","0.8",".304","1.9","3.2",".587",".561","0.8","1.2",".647","1.1","2.8","3.9","0.7","0.5","0.4","0.8","0.9","5.2"
"37","Nicolas Batum","PF","33","LAC","19","16","26.0","3.1","6.3",".496","1.9","4.8",".402","1.2","1.4",".815",".651","0.3","0.5",".500","0.4","4.1","4.5","1.5","1.1","0.7","0.9","1.1","8.4"
"38","Kent Bazemore","SF","32","LAL","22","14","18.1","1.5","4.5",".337","0.8","2.4",".340","0.7","2.0",".333",".429","0.5","0.6",".769","0.3","1.8","2.0","0.9","0.9","0.3","0.4","2.3","4.3"
"39","Darius Bazley","PF","21","OKC","32","27","26.8","3.3","8.8",".382","1.0","3.5",".279","2.4","5.3",".450",".438","1.3","2.0",".615","1.1","5.4","6.5","1.2","0.8","1.3","1.4","0.9","8.9"
"40","Bradley Beal","SG","28","WAS","32","32","36.1","9.2","20.1",".456","1.6","5.5",".288","7.6","14.6",".519",".495","4.2","5.0",".836","1.0","3.7","4.7","6.4","0.9","0.3","3.3","2.4","24.1"
"41","Malik Beasley","SG","25","MIN","38","9","27.5","4.5","12.2",".371","3.0","8.8",".339","1.5","3.3",".457",".495","0.5","0.7",".720","0.4","2.9","3.2","1.7","0.6","0.1","0.8","1.2","12.5"
"42","DeAndre' Bembry","SF","27","BRK","32","14","20.3","2.7","4.4",".599","0.4","0.8",".462","2.3","3.6",".629",".641","0.5","0.8",".577","0.7","2.7","3.4","1.3","1.0","0.6","0.7","2.3","6.2"
"43","Dāvis Bertāns","PF","29","WAS","26","0","16.1","2.0","5.5",".361","1.5","4.6",".336","0.5","1.0",".480",".500","1.0","1.1",".929","0.2","1.7","1.9","0.6","0.4","0.1","0.5","1.7","6.5"
"44","Patrick Beverley","PG","33","MIN","27","23","26.7","3.3","7.9",".425","1.3","4.1",".327","2.0","3.8",".529",".509","1.2","1.7",".702","1.3","3.3","4.6","5.2","1.0","0.9","1.2","3.0","9.2"
"45","Saddiq Bey","SF","22","DET","36","36","33.6","5.2","13.9",".375","2.3","7.1",".327","2.9","6.8",".424",".458","2.4","2.9",".838","1.5","4.9","6.4","2.5","1.0","0.2","1.6","1.8","15.1"
"46","Khem Birch","C","29","TOR","19","4","21.8","2.4","4.8",".500","0.0","0.3",".000","2.4","4.5",".535",".500","1.4","1.8",".743","2.8","2.6","5.5","1.3","0.9","0.6","0.7","1.7","6.2"
"47","Goga Bitadze","C","22","IND","21","0","8.1","0.9","2.8",".322","0.2","1.3",".143","0.7","1.5",".484",".356","0.5","0.9",".611","1.0","1.2","2.2","0.1","0.5","0.5","0.4","1.5","2.5"
"48","Bismack Biyombo","C","29","PHO","2","0","23.5","5.5","6.5",".846","0.0","0.0","","5.5","6.5",".846",".846","2.5","4.0",".625","2.5","3.5","6.0","2.0","1.5","2.0","0.0","2.5","13.5"
"49","Nemanja Bjelica","C","33","GSW","37","0","14.9","2.4","5.3",".457","1.0","2.5",".391","1.5","2.8",".514",".548","0.8","1.2",".674","0.9","3.0","3.9","1.6","0.6","0.3","1.1","1.6","6.7"
"50","Eric Bledsoe","PG","32","LAC","38","28","26.6","3.8","8.9",".429","1.0","3.1",".331","2.8","5.8",".482",".487","1.8","2.3",".791","0.6","3.1","3.7","4.1","1.3","0.4","2.3","1.7","10.4"
"51","Keljin Blevins","SF","26","POR","3","0","4.7","0.7","1.3",".500","0.7","1.0",".667","0.0","0.3",".000",".750","0.0","0.0","","0.0","0.3","0.3","0.3","0.0","0.0","0.7","0.0","2.0"
"52","Bogdan Bogdanović","SG","29","ATL","24","22","28.8","4.3","10.5",".413","2.1","5.9",".362","2.2","4.6",".477",".514","0.9","1.2",".759","0.3","3.3","3.6","2.5","0.7","0.2","0.9","1.9","11.7"
"53","Bojan Bogdanović","PF","32","UTA","38","38","30.2","6.2","12.8",".484","2.7","6.4",".420","3.5","6.4",".547",".588","3.2","3.7",".864","0.8","3.3","4.1","1.6","0.5","0.0","1.7","1.6","18.2"
"54","Bol Bol","PF","22","DEN","14","0","5.8","1.1","1.9",".556","0.1","0.3",".250","1.0","1.6",".609",".574","0.1","0.4",".400","0.3","1.1","1.4","0.4","0.1","0.1","0.3","0.3","2.4"
"55","Leandro Bolmaro","SF","21","MIN","23","2","8.0","0.4","1.4",".281","0.1","0.5",".167","0.3","0.9",".350",".313","0.3","0.4",".889","0.7","0.9","1.5","0.5","0.2","0.0","0.5","0.9","1.2"
"56","Isaac Bonga","SF","22","TOR","12","0","5.3","0.3","1.1",".231","0.1","0.3",".250","0.2","0.8",".222",".269","0.3","0.5",".667","0.3","0.3","0.6","0.3","0.6","0.2","0.2","0.8","0.9"
"57","Devin Booker","SG","25","PHO","30","30","32.7","8.7","19.3",".451","2.7","6.4",".420","6.0","12.9",".466",".521","3.8","4.4",".871","0.8","4.5","5.3","4.5","1.0","0.3","2.6","2.4","23.9"
"58","Brandon Boston Jr.","SG","20","LAC","21","0","14.9","2.2","6.1",".364","0.7","2.4",".300","1.5","3.8",".405",".422","1.2","1.5",".839","0.2","1.6","1.9","0.7","0.6","0.2","0.8","0.8","6.4"
"59","Chris Boucher","PF","29","TOR","33","7","17.3","3.0","6.9",".436","0.7","2.8",".245","2.3","4.0",".571",".487","1.6","2.1",".757","1.7","3.5","5.2","0.3","0.5","0.9","0.7","1.8","8.3"
"60","James Bouknight","SG","21","CHO","18","0","8.2","1.3","3.7",".343","0.6","1.6",".393","0.7","2.2",".308",".425","0.4","0.6",".800","0.8","0.7","1.5","0.8","0.1","0.0","0.3","0.7","3.6"
"61","Avery Bradley","SG","31","LAL","31","26","23.8","2.5","5.8",".425","1.3","3.4",".394","1.2","2.5",".468",".539","0.1","0.1","1.000","0.5","2.0","2.5","0.8","0.9","0.3","0.5","1.7","6.4"
"62","Tony Bradley","C","24","CHI","23","7","12.7","1.7","3.0",".574","0.0","0.0","","1.7","3.0",".574",".574","0.3","0.4",".778","1.5","2.9","4.4","0.6","0.2","0.6","0.7","1.3","3.7"
"63","Ignas Brazdeikis","SF","23","ORL","16","0","9.0","0.8","2.6",".286","0.3","1.4",".182","0.5","1.3",".400",".333","0.3","0.4",".833","0.4","0.9","1.4","0.5","0.3","0.1","0.3","1.0","2.1"
"64","Mikal Bridges","SF","25","PHO","37","37","33.9","4.9","9.4",".520","1.5","3.6",".409","3.4","5.8",".588",".598","1.1","1.2",".848","1.0","3.1","4.0","1.7","1.3","0.5","0.8","2.0","12.3"
"65","Miles Bridges","PF","23","CHO","37","37","35.8","7.3","15.4",".477","1.9","5.9",".318","5.4","9.4",".578",".539","3.0","3.9",".766","1.3","5.9","7.2","3.7","1.2","0.8","1.9","2.5","19.5"
"66","Oshae Brissett","SF","23","IND","28","1","17.8","2.4","5.3",".449","0.9","2.5",".371","1.4","2.8",".519",".537","0.5","1.0",".556","1.3","2.5","3.8","0.8","0.6","0.3","0.7","1.3","6.2"
"67","Malcolm Brogdon","PG","29","IND","26","26","34.3","6.7","15.0",".446","1.8","5.7",".311","4.9","9.3",".529",".505","3.8","4.5",".855","0.9","4.4","5.3","6.1","0.9","0.4","2.2","2.1","19.0"
"68","Armoni Brooks","SG","23","HOU","32","8","18.3","2.4","6.7",".366","1.8","5.6",".322","0.6","1.0",".606",".502","0.5","0.6",".889","0.3","1.7","2.0","1.5","0.6","0.2","0.5","1.7","7.2"
"69","Dillon Brooks","SF","26","MEM","19","18","29.2","7.2","16.8",".425","1.7","5.1",".330","5.5","11.7",".466",".475","3.3","3.7",".887","0.7","2.7","3.4","2.7","1.2","0.1","1.9","3.5","19.3"
"70","Bruce Brown","SF","25","BRK","29","17","22.9","3.0","6.2",".481","0.3","1.0",".310","2.7","5.2",".513",".506","0.6","0.8",".750","1.3","3.2","4.5","1.3","1.3","0.5","0.7","2.8","6.9"
